Rank,Country,PowerIndex
1,United States,0.0891
2,Russia,0.0963
3,China,0.0977
4,India,0.1663
5,France,0.2001
6,United Kingdom,0.2131
7,Japan,0.2137
8,Turkey,0.2491
9,Germany,0.2609
10,Egypt,0.2676
11,Italy,0.2724
12,South Korea,0.2741
13,Pakistan,0.3287
14,Indonesia,0.3347
15,Israel,0.3476
16,Vietnam,0.3587
17,Brazil,0.3636
18,Taiwan,0.3758
19,Poland,0.3831
20,Thailand,0.3892
21,Iran,0.3933
22,Australia,0.4004
23,North Korea,0.4218
24,Saudi Arabia,0.4302
25,Algeria,0.4366