Country,PowerIndex
Afghanistan,2.21
Albania,2.16
Algeria,0.43
Angola,0.93
Argentina,0.56
Armenia,2.1
Australia,0.32
Austria,1.18
Azerbaijan,1.02
Bahrain,1.82
Bangladesh,0.65
Belarus,0.95
Belgium,1.15
Beliz,3.68
Belize,3.72
Benin,4.11
Bhutan,12.53
Bolivia,1.37
Bosnia and Herzegovina,3.38
Botswana,2.51
Brazil,0.24
Bulgaria,0.98
Burkina Faso,2.83
Cambodia,2.15
Cameroon,2.12
Canada,0.4
Central African Republic,3.81
Chad,1.82
Chile,0.8
China,0.07
Colombia,0.69
Croatia,1.15
Cuba,1.22
Czechia,0.68
DR of the Congo,1.31
Democratic Republic of the Congo,1.25
Denmark,0.8
Dominican Republic,2.86
Ecuador,1.15
Egypt,0.24
El Salvador,3.2
Eritrea,2.89
Estonia,2.32
Ethiopia,0.86
Finland,0.84
France,0.17
Gabon,3.43
Georgia,1.8
Germany,0.26
Ghana,2.2
Greece,0.49
Guatemala,2.05
Honduras,2.14
Hungary,0.87
Iceland,3.5
India,0.11
Indonesia,0.26
Iran,0.27
Iraq,0.73
Ireland,2.0
Israel,0.3
Italy,0.22
Ivory Coast,2.17
Japan,0.17
Jordan,1.38
Kazakhstan,1.0
Kenya,1.65
Kosovo,6.38
Kuwait,1.5
Kyrgyzstan,2.08
Laos,2.89
Latvia,2.06
Lebanon,2.53
Liberia,5.2
Libya,1.4
Lithuania,1.7
Luxembourg,2.54
Madagascar,3.27
Malaysia,0.66
Mali,2.12
Mauritania,3.19
Mexico,0.56
Moldova,3.07
Mongolia,2.12
Montenegro,3.25
Morocco,0.95
Mozambique,2.32
Myanmar,0.59
Namibia,3.17
Nepal,3.01
Netherlands,0.6
New Zealand,1.6
Nicaragua,2.74
Niger,2.42
Nigeria,0.61
North Korea,0.44
North Macedonia,3.14
Norway,0.57
Oman,1.43
Pakistan,0.24
Panama,3.77
Paraguay,2.08
Peru,0.75
Philippines,0.67
Poland,0.37
Portugal,0.72
Qatar,1.4
Republic of the Congo,2.87
Romania,0.7
Russia,0.07
Saudi Arabia,0.36
Senegal,2.84
Serbia,1.0
Sierra Leone,4.5
Singapore,0.6
Slovakia,1.07
Slovenia,1.92
Somalia,5.55
South Africa,0.52
South Korea,0.17
South Sudan,2.43
Spain,0.34
Sri Lanka,1.4
Sudan,1.37
Suriname,4.74
Sweden,0.49
Switzerland,0.6
Syria,0.93
Taiwan,0.38
Tajikistan,2.25
Tanzania,2.19
Thailand,0.39
Tunisia,1.48
Turkmenistan,1.51
TÃ¼rkiye,0.21
Uganda,1.97
Ukraine,0.37
United Arab Emirates,0.79
United Kingdom,0.17
United States,0.07
Uruguay,2.04
Uzbekistan,0.92
Venezuela,0.76
Vietnam,0.37
Yemen,1.45
Zambia,1.93
Zimbabwe,2.03
