Country,Frequency,Average_GDP_Last_10_Years_Billion_USD,Average_Democracy_Score,PowerIndex
United States,172622,20264.7,8.03,0.07
Russia,113772,1458.35,3.45,0.07
United Kingdom,62493,3087.75,8.3,0.17
China,61547,14845.18,2.8,0.07
Ukraine,61369,90.72,5.86,0.37
Kyrgyzstan,53538,7.93,4.5,2.08
New Zealand,49726,202.83,9.29,1.6
South Africa,47001,354.77,7.49,0.52
Syria,42274,15.89,1.7,0.93
Germany,42221,3608.7,8.61,0.26
India,42127,2713.83,7.36,0.11
Türkiye,40479,1059.6,5.02,0.21
France,39649,2559.92,7.95,0.17
Colombia,38816,323.41,6.67,0.69
Japan,36432,4523.06,8.1,0.17
Philippines,35095,378.57,6.55,0.67
Iran,30670,464.89,2.23,0.27
Israel,30483,362.16,7.69,0.3
Canada,30385,1684.66,9.06,0.4
Hungary,30347,144.41,6.87,0.87
South Korea,30272,1602.7,8.03,0.17
Uruguay,29630,59.94,8.32,2.04
United Arab Emirates,29419,407.86,2.69,0.79
Spain,27840,1297.22,8.14,0.34
Italy,26604,1915.11,7.79,0.22
Indonesia,26140,1039.64,6.62,0.26
Afghanistan,25440,18.71,2.4,2.21
Brazil,25288,1842.12,7.03,0.24
Georgia,24210,18.95,5.35,1.8
Iraq,24202,187.59,3.85,0.73
Mexico,24107,1264.69,6.35,0.56
Ecuador,23732,102.85,5.85,1.15
Venezuela,23362,150.0,4.08,0.76
Slovakia,23318,98.54,7.23,1.07
Bosnia and Herzegovina,22401,18.74,5.08,3.38
Peru,22092,209.85,6.39,0.75
Cuba,21419,85.81,3.22,1.22
Australia,21100,1502.18,9.03,0.32
Egypt,20109,405.12,3.36,0.24
Guatemala,20004,71.86,5.55,2.05
Argentina,18771,578.04,6.85,0.56
Panama,18621,64.61,7.1,3.77
Qatar,18419,167.33,3.23,1.4
Romania,18327,212.48,6.58,0.7
Netherlands,18075,853.03,9.02,0.6
Armenia,17957,12.78,4.55,2.1
Poland,17951,573.0,7.01,0.37
Azerbaijan,17536,54.18,2.89,1.02
Kazakhstan,17262,209.69,3.14,1.0
Serbia,17242,48.22,6.45,1.0
Pakistan,17085,362.5,4.3,0.24
Jordan,17033,42.11,3.73,1.38
Belarus,16523,58.28,3.06,0.95
Saudi Arabia,16479,768.79,1.91,0.36
Dominican Republic,16400,87.47,6.46,2.86
Singapore,16332,354.74,6.08,0.6
Finland,16252,248.57,9.15,0.84
Estonia,16136,26.48,7.79,2.32
Switzerland,16023,751.64,9.06,0.6
Croatia,15584,58.39,6.74,1.15
Palestine,15580,14.66,4.59,13.78
Greece,15423,204.42,7.65,0.49
Tajikistan,15391,11.56,2.18,2.25
Chile,15225,262.81,7.88,0.8
Montenegro,14420,4.6,6.07,3.25
Uzbekistan,13795,110.72,1.95,0.92
Moldova,13368,8.81,6.18,3.07
Sweden,12973,545.07,9.52,0.49
Austria,12830,404.48,8.4,1.18
Turkmenistan,12577,47.48,1.74,1.51
Libya,11977,54.99,2.67,1.4
Belgium,11858,492.81,7.85,1.15
Suriname,11815,4.77,6.77,4.74
Taiwan,11781,700.0,8.0,0.38
Slovenia,11505,49.45,7.68,1.92
Lebanon,11279,43.69,4.78,2.53
Thailand,11052,441.22,5.9,0.39
Norway,10742,413.82,9.83,0.57
Bulgaria,10560,57.45,6.85,0.98
Malaysia,10351,357.5,6.67,0.66
Czechia,10269,209.66,7.94,0.68
North Korea,9996,40.0,1.06,0.44
Vietnam,9903,317.73,3.01,0.37
Morocco,9812,121.16,4.51,0.95
Latvia,9251,29.25,7.27,2.06
Denmark,9130,336.65,9.3,0.8
Bolivia,9045,36.85,5.45,1.37
Albania,8914,13.27,5.94,2.16
Portugal,8740,217.49,7.89,0.72
El Salvador,8663,25.81,6.14,3.2
Cambodia,8658,31.65,4.08,2.15
Lithuania,8320,48.81,7.37,1.7
Bahrain,8229,36.54,2.82,1.82
Ireland,8171,406.36,8.95,2.0
Yemen,8072,50.51,2.4,1.45
Kenya,7865,85.74,5.03,1.65
Paraguay,7766,40.96,6.22,2.08
Nigeria,7509,514.9,4.03,0.61
Sudan,7301,47.22,2.48,1.37
Ethiopia,7288,92.01,3.68,0.86
Congo,7131,10.67,2.97,2.06
Honduras,6605,24.15,5.67,2.14
Tunisia,6525,47.47,5.52,1.48
Myanmar,6375,65.64,2.64,0.59
Kuwait,6326,116.39,3.74,1.5
Bangladesh,6285,264.21,5.82,0.65
Nicaragua,6256,13.94,4.52,2.74
North Macedonia,6218,10.98,6.01,3.14
Sri Lanka,5988,92.2,6.27,1.4
Kosovo,5938,7.55,5.5,6.38
Somalia,5304,7.72,1.0,5.55
Algeria,5273,201.86,3.64,0.43
Ghana,5089,61.97,6.29,2.2
Laos,4902,18.11,2.13,2.89
Liberia,4810,3.33,5.22,5.2
Oman,4714,84.42,3.06,1.43
Mali,4496,18.9,5.1,2.12
Luxembourg,4463,66.63,8.86,2.54
Nepal,4444,29.78,4.6,3.01
Angola,4421,86.39,3.46,0.93
Tanzania,4266,60.76,5.45,2.19
Mongolia,4201,13.7,6.48,2.12
Mozambique,4043,18.48,4.32,2.32
Benin,3908,14.73,5.47,4.11
Uganda,3904,40.11,5.01,1.97
Iceland,3815,20.5,9.56,3.5
Senegal,3799,22.82,5.79,2.84
Zimbabwe,3218,21.26,2.89,2.03
South Sudan,3190,16.88,1.5,2.43
Burkina Faso,3174,15.04,3.91,2.83
Gabon,2814,15.37,3.4,3.43
Niger,2717,12.46,3.62,2.42
Madagascar,2708,12.8,5.01,3.27
Namibia,2651,11.28,6.37,3.17
Mauritania,2529,7.2,3.95,3.19
Cameroon,2517,37.6,3.2,2.12
Zambia,2516,24.47,5.76,1.93
Sierra Leone,2402,8.18,4.57,4.5
Central African Republic,2378,1.94,1.58,3.81
Chad,2366,15.64,1.57,1.82
Botswana,2228,15.94,7.75,2.51
Bhutan,2045,2.44,4.91,12.53
Côte d'Ivoire,1408,60.11,3.68,2.17
Eritrea,1233,2.11,2.3,2.89
Hong Kong,1074,324.57,6.01,13.78
