Country,Average_FSI_Total_Score
Somalia,112.24
South Sudan,111.39
Yemen,110.83
Syria,109.71
DR Congo,108.96
Central African Republic,108.88
Sudan,108.22
Chad,106.99
Afghanistan,105.61
Haiti,101.75
Guinea,100.12
Nigeria,99.31
Zimbabwe,99.26
Iraq,98.17
Ethiopia,98.1
Burundi,97.04
Myanmar,96.51
Eritrea,96.25
Niger,96.11
Cameroon,95.94
Mali,95.71
Libya,95.39
Pakistan,94.8
Guinea Bissau,94.73
Uganda,94.15
C̫te d'Ivoire,93.14
Kenya,92.49
Congo,91.96
Liberia,91.29
North Korea,90.81
Mozambique,90.75
Mauritania,90.6
Palestine,89.32
Burkina Faso,88.87
Lebanon,88.72
Angola,88.36
Bangladesh,87.59
Venezuela,87.36
Rwanda,86.79
Egypt,86.6
Sierra Leone,86.23
Sri Lanka,85.4
Cote d'Ivoire,85.3
Djibouti,84.9
Nepal,84.89
Zambia,84.81
Iran,84.74
Togo,84.68
Malawi,84.52
East Timor,84.08
Equatorial Guinea,84.03
Eswatini,83.8
Cambodia,82.78
Comoros,82.61
Gambia,82.61
Papua New Guinea,82.35
Philippines,82.07
Solomon Islands,81.76
Madagascar,81.72
Guatemala,79.82
Turkey,79.73
Tanzania,79.03
Laos,78.75
Lesotho,78.68
Honduras,78.47
Colombia,78.19
Tajikistan,77.88
Kyrgyzstan,77.63
Nicaragua,77.51
Russia,77.32
Senegal,77.14
Ukraine,76.58
Jordan,76.51
India,76.15
Uzbekistan,75.14
Benin,74.82
Bolivia,74.49
Algeria,74.49
Azerbaijan,74.27
Georgia,73.74
Thailand,72.81
Bosnia and Herzegovina,72.7
Micronesia (country),72.45
Fiji,72.18
Ecuador,72.13
Morocco,72.05
Bhutan,71.47
Sao Tome and Principe,71.23
El Salvador,70.73
South Africa,70.69
Peru,70.65
Tunisia,70.58
China,70.48
Brazil,70.42
Mexico,70.4
Turkmenistan,70.23
Belarus,70.17
Gabon,69.89
Indonesia,69.68
Saudi Arabia,69.01
Serbia,68.89
Maldives,68.64
Moldova,68.44
Armenia,68.31
Paraguay,67.45
Guyana,66.84
Ghana,66.09
Namibia,65.94
Dominican Republic,65.93
Cape Verde,65.74
Samoa,65.39
Vietnam,65.04
Israel,64.93
Bahrain,64.74
North Macedonia,63.46
Suriname,62.78
Belize,62.69
Kazakhstan,62.46
Jamaica,62.36
Cuba,61.94
Malaysia,60.05
Cyprus,59.24
Botswana,59.07
Albania,58.98
Brunei,58.05
Grenada,57.67
Seychelles,56.32
Montenegro,56.25
Greece,54.74
Antigua and Barbuda,54.57
Trinidad and Tobago,54.44
Kuwait,54.01
Mongolia,53.71
Bulgaria,51.87
Romania,50.77
Bahamas,50.44
Oman,50.27
Hungary,49.81
Panama,49.36
Croatia,49.0
Barbados,47.35
Argentina,47.1
Latvia,44.49
Qatar,43.93
Italy,43.38
Costa Rica,42.47
Poland,41.88
Spain,41.78
Chile,41.72
United Arab Emirates,40.65
Estonia,40.64
Slovakia,40.22
United States,40.0
Mauritius,39.85
Lithuania,39.52
Czechia,38.77
United Kingdom,37.31
Malta,35.84
Uruguay,35.14
South Korea,33.84
Japan,33.35
France,31.69
Belgium,30.03
Slovenia,29.12
Singapore,28.79
Portugal,26.99
Germany,25.55
Austria,25.53
Netherlands,24.31
Australia,21.54
Ireland,21.17
Canada,21.15
Luxembourg,20.89
Sweden,20.77
New Zealand,19.39
Switzerland,19.3
Iceland,19.26
Denmark,19.16
Norway,17.45
Finland,16.62
